,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
343,okc,wanted,never,jason,bildigin,w,umm,could
344,call,anything,hmu,aldean,yek,pillow,missing,come
345,night,send,tell,pandora,vucut,tto,hard,syracuse
346,dude,hot,city,chase,olduk,ssad,signed,weekend
347,drunk,san,planned,coldstone,la,dad,hahah,shop
348,spend,antonio,chilled,perf,thts,date,getting,bachelorette
349,nite,idk,better,said,ilive,birthday,apartment,party
350,oomf,choose,eating,alecia,wisconsinn,mirabella,bros,bff
351,cozy,weekend,food,thats,headed,gelateria,aint,genbugs
352,snowy,fridge,well,cute,fword,espressobar,moonshine,hyatt
353,ba,drink,fredonia,ugh,traffic,sorry,lmfao,regency
354,cute,dad,ky,making,1ok,cool,halle,bellevue
355,childish,shoe,mind,thatshuge,1o,enough,smelt,dad
356,away,working,dad,could,5k,able,nair,went
357,girl,unless,pyramid,felt,1o2,boyfriend,eww,pizza
358,feel,look,song,high,rt,cough,wan,ask
359,either,guy,saying,school,partying,drop,use,stand
360,enough,named,minute,crush,2night,plus,ctfu,female
361,important,david,sarcastic,notice,spent,allergy,e,confusing
362,gave,ennis,',blocked,cuz,kmart,wowies,hard
363,12,umm,de,subtweets,tweeted,check,sport,handle
364,year,already,veritas,9,ol,message,grill,outta
365,old,much,deveritas,watching,momma,anyone,jordan,control
366,fu,almost,course,scary,taught,screen,cop,emotional
367,guy,3,basketball,alone,santa,youu,need,af
368,topic,okay,lesson,idea,rosa,text,tweet,regardless
369,making,sort,ct,yum,plz,grandma,count,cute
370,walk,chain,stand,menchie,pedal,mine,talk,worker
371,across,piss,cute,v,prettiest,believe,dodging,sykes
372,id,delete,dae,freddy,doubt,remember,flying,beautiful
373,buy,ish,laughing,scaring,tlaquepaque,mid,shoe,smart
374,lanyar,suck,put,veteran,mexican,50,krusty,imagination
375,l,funeral,place,220,outta,said,krab,mind
376,5,wednesday,first,plated,ah,somebody,ha,far
377,1,girlfriend,come,aye,jealous,responding,krabby,granny
378,suck,call,around,make,trip,delete,veggie,m00
379,sometimes,bout,life,saying,tminus,glad,patty,libbey
380,ca,yeahh,phone,helping,50,know,7,grandma
381,ever,jessica,okc,hour,minute,hangout,wayne,mickey
382,reach,pretend,call,lunch,happiest,anymore,tho,aah
383,oxygen,legit,spend,kinda,passn,uh,garage,stop
384,catwomen,changing,nite,old,appts,watching,see,cant
385,much,major,oomf,blackberry,yay,else,dog,idea
386,think,friend,cozy,metropcs,applebee,'d,chewing,holy
387,called,boy,snowy,thank,fav,bawling,raw,shit
388,ye,washington,ba,kim,guard,come,piece,tattoo
389,stretched,sit,childish,literally,heehee,wht,meat,piercing
390,breath,jyoust,away,saved,thnx,yhu,vodka,though
391,cousin,ignore,either,dark,katiee,okay,joey,fell
392,running,drunk,enough,blue,knww,mean,eaton,bad
393,house,alcohol,made,'re,cutee,painting,centre,college
394,pillow,smh,sound,bacon,kate,bunch,goof,virginia
395,head,though,important,ranch,cyoutee,omygod,left,med
396,y'all,scared,cassie,sandwich,shyould,dude,ugh,florida
397,forget,tell,anything,everything,hmyou,side,watched,“
398,turn,yoyoyou,gave,’,syoumtimes,speaker,y'all,cookie
399,hear,wyoyoyout,12,bestest,fucking,blew,car,nutella
400,message,might,year,side,mole,car,pull,awesome
401,college,guess,gon,hahahahaha,'re,iphone,licking,bed
402,fa,keep,feelin,finally,clownin,5,elbow,quinta
403,likely,pretending,fu,found,wow,walmart,wo,inn
404,class,officially,guy,powerpoint,could,supercenter,take,suite
405,sem,forgotten,hot,soo,syracuse,spending,abortion,austin
406,steven,except,topic,ta,prego,saturday,child,cedar
407,laughing,fact,walk,function,ppl,kosiar,abort,park
408,may,crip,across,tho,somone,shawty,anything,lakeline
409,grilled,probably,mall,man,discovered,dnt,babysitting,chad
410,breast,morning,id,trisha,armani,talking,home,fuck
411,risotto,hopefully,buy,yu,tampa,hour,hahahaha,↗↙↘↖←↓←↑
412,bye,hose,lanyar,homecoming,plaza,omfg,al,♡
413,came,worse,l,sheryl,xx,seriously,año,saw
414,im,cancelled,match,ilovecarmel,hood,jelly,lo,kid
415,gla,heart,called,de,woot,chyna,bautizamos,breakroom
416,two,always,ye,plaine,sb,tenyce,talvez,find
417,teeth,small,stretched,dang,concert,bryan,mucho,attractive
418,ew,maybe,trippin,barely,inna,dont,ante,'ve
419,poor,shower,show,6,city,blowing,dad,conclyouded
420,double,help,already,selma,miss,tl,filter,nothing
421,wammy,ti,breath,tell,cityy,help,sometimes,well
422,laugh,season,cousin,saw,mob,jesus,noo,supposed
423,although,y'all,running,funny,episode,bonfire,brain,cleaning
424,mention,jcpenney,house,running,whitey,brandon,perfectly,video
425,chose,ok,pillow,user,trying,sure,fart,game
426,break,nt,fight,name,plead,first,though,instead
427,leave,asked,head,noo,little,indoor,life,relax
428,country,twitter,beating,went,sykes,soccer,old,compared
429,warne,name,y'all,brother,seriously,tomorrow,cousin,eye
430,effective,lovelyrainbows23,forget,last,funniest,accept,5,quite
431,waited,saying,turn,college,hurting,fact,craycray,bright
432,2,tongue,hear,icy,suck,anything,cho,cousin
433,hour,n,message,pic,pizza,bc,momma,morgan
434,table,lip,college,dont,hannahla,$,jk,15th
435,founding,piercing,fa,nose,internet,name,ur,birthday
436,farmer,halla,ugh,bein,helped,thank,self,lazy
437,working,ouch,likely,stuffy,fix,follower,dough,u
438,ian,vodka,class,lil,font,follow,bottle,rage
439,run,side,sem,cough,via,2000,banana,babe
440,foot,pant,lighter,somebody,asked,please,pudding,*
441,obliviously,'d,keep,rear,rock,tell,uncle,listen
442,difference,give,goin,ended,mickey,id,jesse,cc
443,hard,snow,missing,charger,family,prob,famous,bragg
444,welcoming,cold,think,lmfao,mia,fish,intimidated,memorial
445,private,convo,may,ash,old,bowl,nigga,honestly
446,krupa,brung,grilled,cooky,jonas,yous,late,wo
447,portland,mulcs,breast,shit,room,prolly,found,read
448,international,queen,risotto,standing,sister,sleepy,said,bet
449,airport,owned,ca,else,dr,knowing,annoying,yoou
450,p,blue,bye,coffee,oswald,nothing,'catching,walking
451,chu,denim,came,called,tattoo,better,justin,shore
452,ya,obviously,awe,u,piercing,sissy,bieber,road
453,ex,count,gla,piggy,mel,beat,stuck,saggin
454,cu,nino,mexican,artsy,deam,assasins,day,bitch
455,dey,mistake,two,fartsy,fell,creed,sister,hahah
456,winnin,mess,teeth,local,bad,bff,date,might
457,den,idea,ew,starbucks,college,iz,little,add
458,wen,special,double,lighting,virginia,lucky,brother,ha
459,lik,skill,wammy,ohh,med,b,place,mancrush
460,expect,cleaning,laugh,first,florida,spot,dont,rough
461,finish,inflatables,send,sport,cod,taken,painted,transformer
462,pay,light,snap,team,black,ok,living,people
463,attention,speed,chat,dumbass,ops,stalk,room,yaayy
464,yoyou,trying,person,real,dose,love,orange,hear
465,yoyour,smile,although,busy,brave,missed,morning,talked
466,jamie,hopefyoully,mention,interesting,champ,performance,beige,jules
467,blonde,worked,chose,showing,since,second,f,thatt
